Word/Phrase	Fun Opposite	Good word	Good Opposite	Don't Like	Difficulty	Helper 1	Helper 2	Helper 3	Category
Roller coaster	Walker plain	FALSE	FALSE	FALSE		Ride	Track	Car	Fun
Roller rink	Walker-square	FALSE	FALSE	FALSE		Ice-rink	Park	Hall	Fun
Roller skates	Crawler-shoes	FALSE	FALSE	FALSE		Blades	Shoes	Boots	Fun
Rollercoaster	Stationary-agitator	TRUE	TRUE	FALSE		Ferris-wheel	Carousel	Ride	Fun
Root beer	Leaf wine	TRUE	TRUE	FALSE		Cola	Soda	Pop	Drink
Ruler	Rebel	FALSE	FALSE	FALSE		Tape	Stick	Yard	School
Runway	Stopground	FALSE	FALSE	FALSE		Taxiway	Apron	Gate	Travel
Runway lights	Alley darks	FALSE	FALSE	FALSE		Beacons	Lamps	Spots	Travel
Sandbox	Glass tower	FALSE	FALSE	FALSE		Pit	Box	Pile	Fun
Sandwich	Glass-saint	TRUE	TRUE	FALSE		Burger	Sub	Wrap	Food
Sandwich bag	Plate-open	FALSE	FALSE	FALSE		Box	Wrap	Foil	Kitchen
School bell	Silent wall	FALSE	FALSE	FALSE		Alarm	Ring	Buzz	School
School bus	Work-car	FALSE	FALSE	FALSE		Van	Car	Taxi	School
School bus stop	Work car go	FALSE	FALSE	FALSE		Corner	Shelter	Sign	School
School desk	Play couch	FALSE	FALSE	FALSE		Chair	Table	Bench	School
Science lab	Myth cave	TRUE	TRUE	FALSE		Room	Class	Hall	School
Scissors	Joiners	FALSE	FALSE	FALSE		Shears	Cutter	Knife	Tools
Seat belt	Stand loose	TRUE	TRUE	FALSE		Strap	Buckle	Lock	Safety
Break time	Fix Eternity	TRUE	TRUE	FALSE		Work	Class	Job	Work
Seatbelt sign	Loose stay	FALSE	FALSE	FALSE		Light	Signal	Bell	Travel
Security check	Chaos gift	FALSE	FALSE	FALSE		Gate	Line	Scan	Travel
See-saw	Don’t-look stay	FALSE	FALSE	FALSE		Swing	Slide	Bars	Fun
Shoestring	Bare-chain	FALSE	FALSE	FALSE		Lace	Tie	Knot	Clothing
Sidewalk	Center-float	FALSE	FALSE	FALSE		Road	Path	Walk	City
Skateboard	Crawl-floor	FALSE	FALSE	FALSE		Bike	Scooter	Skates	Fun
Sleeper car	Awake rock	FALSE	FALSE	FALSE		Coach	Seat	Bed	Transport
Slide	Climb	FALSE	FALSE	FALSE		Swing	Climb	Jump	Fun
Soulmate	Body-enemy	FALSE	FALSE	FALSE		Partner	Friend	Love	Life
Smartwatch	Dumb-ignore	TRUE	TRUE	FALSE		Phone	Tablet	Band	Tech
Smoothie	Roughie	TRUE	TRUE	FALSE		Shake	Juice	Blend	Drink
Snack pack	Meal dump	FALSE	FALSE	FALSE		Box	Bag	Cup	Food
Snack time	Work freeze	FALSE	FALSE	FALSE		Lunch	Dinner	Meal	Food
Snowball	Cinders-Cube	TRUE	TRUE	FALSE		Ice	Flake	Drift	Winter
Snowball	Heat-square	FALSE	FALSE	FALSE		Ice	Flake	Drift	Winter
Snowfall	Cinders-Rise	TRUE	TRUE	FALSE		Rain	Hail	Sleet	Winter
Snowflake	Cinders-clump	TRUE	TRUE	FALSE		Crystal	Ice	Drop	Winter
Snowman	Cinders-Ghost	TRUE	TRUE	FALSE		Frosty	Ice	Cold	Winter
Snowman	Heatghost	FALSE	FALSE	FALSE		Frosty	Ice	Cold	Winter
Snowstorm	Cinders-Calm	TRUE	TRUE	FALSE		Blizzard	Squall	Gale	Winter
Snowstorm	Heatbreeze	FALSE	FALSE	FALSE		Blizzard	Squall	Gale	Winter
Soda pop	Still drop	FALSE	FALSE	FALSE		Coke	Pepsi	Sprite	Drink
Spaghetti	Short cubes	FALSE	FALSE	FALSE		Pasta	Noodle	Mac	Food
Spare tire	Missing cube	FALSE	FALSE	FALSE		Wheel	Rim	Jack	Car
Sparkling water	Dull ground	FALSE	FALSE	FALSE		Still	Flat	Tap	Drink
Speedometer	Slowguess	FALSE	FALSE	FALSE		Tach	Gauge	Dial	Car
Spiral notebook	Flat rock	FALSE	FALSE	FALSE		Pad	Book	Binder	School
Sports drink	Nap dry	FALSE	FALSE	FALSE		Water	Soda	Juice	Drink
Sports jersey	Office suit	FALSE	FALSE	FALSE		Shirt	Top	Vest	Clothing
Spotlight	Shadowdark	FALSE	FALSE	FALSE		Flood	Beam	Ray	Theater
Stage lights	Cave darks	FALSE	FALSE	FALSE		Spots	Floods	Beams	Theater
Stapler	Scatterer	FALSE	FALSE	FALSE		Tape	Glue	Clip	Office
Starfish	Planet-bird	TRUE	TRUE	FALSE		Shell	Crab	Fish	Sea
Station clock	Forget dark	FALSE	FALSE	FALSE		Watch	Time	Dial	Transport
Station master	Student minor	FALSE	FALSE	FALSE		Guard	Chief	Boss	Transport
Steam engine	Fog silence	FALSE	FALSE	FALSE		Diesel	Electric	Coal	Transport
Steering wheel	Crawling stick	FALSE	FALSE	FALSE		Helm	Tiller	Stick	Car
Stir fry	Shake Freeze	TRUE	TRUE	FALSE		Wok	Pan	Dish	Food
Stop sign	Go shadow	FALSE	FALSE	FALSE		Yield	Go	Slow	City
Stopwatch	Go-ignore	TRUE	TRUE	FALSE		Timer	Clock	Watch	Sports
Strawberry	Brickmelon	TRUE	TRUE	FALSE		Berry	Fruit	Red	Food
Street sign	Alley blank	FALSE	FALSE	FALSE		Post	Pole	Mark	City
Streetlight	Sidewalk-dark	FALSE	FALSE	FALSE		Lamp	Post	Bulb	City
Strongman	Weakboy	TRUE	TRUE	FALSE		Lifter	Builder	Gym	Circus
Study hall	Party field	FALSE	FALSE	FALSE		Library	Room	Class	School
Subway	above-	TRUE	TRUE	FALSE		Metro	Tube	Train	Transport
Suitcase	Pajamabox	FALSE	FALSE	FALSE		Bag	Case	Trunk	Travel
Suitcase wheels	Couch roots	FALSE	FALSE	FALSE		Handle	Zip	Lock	Travel
Sunglasses	MoonSands	TRUE	TRUE	FALSE		Shades	Specs	Lens	Items
Sunlight	Moon-dark	TRUE	TRUE	FALSE		Moon	Star	Lamp	Nature
Sunrise	Moon-set	TRUE	TRUE	FALSE		Sunset	Dawn	Dusk	Nature
Sunroof	Moonfloor	FALSE	FALSE	FALSE		Moonroof	Top	Window	Car
Sunset	Moon-rise	TRUE	TRUE	FALSE		Sunrise	Dusk	Dawn	Nature
Sushi roll	Burger cube	FALSE	FALSE	FALSE		Sashimi	Nigiri	Maki	Food
Sweet tea	Sour coffee 	TRUE	TRUE	FALSE	2	Unsweet	Green	Black	Drink
Swimming goggles	Dry-blinders	FALSE	FALSE	FALSE		Mask	Fins	Snorkel	Sports
Swimming pool	Drought-hill	FALSE	FALSE	FALSE		Lake	Pond	Sea	Fun
Swing set	Still sit	FALSE	FALSE	FALSE		Slide	Bars	Sand	Fun
Sword swallower	Pillow hugger	FALSE	FALSE	FALSE		Eater	Breather	Walker	Circus
T-shirt	Coffee-pants	TRUE	TRUE	FALSE		Shirt	Top	Tee	Clothing
Tag game	Ignore still	FALSE	FALSE	FALSE		Chase	Race	Run	Games
Taillights	Head darks	TRUE	TRUE	FALSE		Headlights	Brakes	Signals	Car
Tea kettle	Ice jar	FALSE	FALSE	FALSE		Pot	Jug	Urn	Kitchen
Teacher’s pet	Student’s Monster 	TRUE	TRUE	FALSE		Favorite	Star	Best	School
Teapot	CoffeeCup	TRUE	TRUE	FALSE		Cup	Mug	Saucer	Kitchen
Tennis court	Pickleball-grass	FALSE	FALSE	FALSE		Net	Line	Ball	Sports
Textbook	PictureMovie	TRUE	TRUE	FALSE		Reader	Guide	Manual	School
Ticket agent	Chaos fan	FALSE	FALSE	FALSE		Seller	Broker	Dealer	Travel
Ticket booth	Free hole	FALSE	FALSE	FALSE		Window	Counter	Desk	Travel
Ticket machine	Freedom wall	FALSE	FALSE	FALSE		Kiosk	Vendor	Box	Travel
Ticket ride	Ground sit	FALSE	FALSE	FALSE		Pass	Stub	Slip	Fun
Ticket stub	Whole slip	FALSE	FALSE	FALSE		Receipt	Check	Bill	Fun
Tightrope walker	Loose floor sitter	FALSE	FALSE	FALSE		Acrobat	Clown	Mime	Circus
Timetable	Chaos blank	FALSE	FALSE	FALSE		Schedule	Plan	Chart	Transport
Timpani	Flat still	FALSE	FALSE	FALSE		Drum	Kettle	Bass	Music
Tire tread	Smooth slip	FALSE	FALSE	FALSE		Grip	Pattern	Mark	Car
Toast	Freeze	FALSE	FALSE	FALSE		Bread	Slice	Crust	Food
Toll booth	Free hole	FALSE	FALSE	FALSE		Gate	Lane	Stop	Travel
Toll road	Free grass	FALSE	FALSE	FALSE		Freeway	Highway	Pike	Travel
Tooth fairy	Gum-troll	FALSE	FALSE	FALSE		Santa	Bunny	Elf	Myth
Toothbrush	Gum-Ruffler	TRUE	TRUE	FALSE		Paste	Floss	Pick	Health
Toothpaste	Tongue-dirt	FALSE	FALSE	FALSE		Brush	Rinse	Wash	Health
Tow truck	Push bike	FALSE	FALSE	FALSE		Wrecker	Hauler	Puller	Car
Track switch	Straight stay	FALSE	FALSE	FALSE		Lever	Point	Rail	Transport
Traffic jam	Empty flow/peanutbutter	FALSE	FALSE	FALSE		Gridlock	Stop	Wait	City
Traffic light	Empty dark	FALSE	FALSE	FALSE		Signal	Lamp	Stop	City
Trail bar	Couch square	FALSE	FALSE	FALSE		Mix	Nut	Fruit	Food
Trail mix	Couch single	FALSE	FALSE	FALSE		Nuts	Raisins	Choco	Food
Train car	Couch walk	FALSE	FALSE	FALSE		Coach	Wagon	Box	Transport
Train depot	Couch pit	FALSE	FALSE	FALSE		Station	Yard	Stop	Transport
Train seat	Walk stand	FALSE	FALSE	FALSE		Bench	Chair	Stool	Transport
Train station	Plane meadow	FALSE	FALSE	FALSE		Platform	Track	Rail	Transport
Train tracks	Air gaps	FALSE	FALSE	FALSE		Rails	Ties	Bed	Transport
Train tunnel	Sky hill	FALSE	FALSE	FALSE		Tube	Hole	Pass	Transport
Train whistle	Silent rock	FALSE	FALSE	FALSE		Horn	Bell	Blast	Transport
Train yard	Couch meadow	FALSE	FALSE	FALSE		Depot	Shop	Shed	Transport
Trapeze artist	Couch crawler	FALSE	FALSE	FALSE		Flyer	Catcher	Swinger	Circus
Travel visa	Couch ban	FALSE	FALSE	FALSE		Passport	Permit	Stamp	Travel
Tray table	Floor stick	FALSE	FALSE	FALSE		Seat	Back	Pocket	Travel
Treehouse	Root basement	FALSE	FALSE	FALSE		Fort	Club	Hut	Fun
Trombone	Silence stick	FALSE	FALSE	FALSE		Trumpet	Tuba	Horn	Music
Trumpet	Whisper	FALSE	FALSE	FALSE		Bugle	Cornet	Horn	Music
Trunk	Branch	FALSE	FALSE	FALSE		Chest	Box	Case	Storage
Tunnel	Sky	FALSE	FALSE	FALSE		Cave	Mine	Hole	Transport
Turbulence	Stillness	FALSE	FALSE	FALSE		Bump	Shake	Jolt	Travel
Turkey dinner	Salad-snack	FALSE	FALSE	FALSE		Ham	Roast	Feast	Food
Turn signal	Straight silence	FALSE	FALSE	FALSE		Blinker	Light	Indicate	Car
Turnstile	Wideopen	FALSE	FALSE	FALSE		Gate	Door	Bar	City
Umbrella	Sun-puller	FALSE	FALSE	FALSE		Rain	Coat	Boot	Weather
Vacuum	Blower	TRUE	TRUE	FALSE		Cleaner	Sweep	Dust	House
Vacuum cleaner	Dust-dirty	FALSE	FALSE	FALSE		Broom	Mop	Rag	House
Vending machine	Starving box	FALSE	FALSE	FALSE		Snack	Soda	Candy	Food
Violin	Drum	FALSE	FALSE	FALSE		Fiddle	Cello	Bass	Music
Waiting	Acting	TRUE	TRUE	FALSE		Line	Queue	Hold	Life
Waiting room	Acting Hall	TRUE	TRUE	FALSE		Lobby	Hall	Area	Health
Washing machine	Drying Human	TRUE	TRUE	FALSE	3	Dryer	Tub	Basin	House
Watchout	Ignore-in	TRUE	TRUE	FALSE		Look	See	Head	Safety
Water bottle	Fire-basket	FALSE	FALSE	FALSE		Jug	Flask	Cup	Drink
Water bottle	Fire jug	FALSE	FALSE	FALSE		Jug	Flask	Cup	Drink
Water jug	Fire box	FALSE	FALSE	FALSE		Pitcher	Ewer	Urn	Drink
Waterfall	Fire-rise	FALSE	FALSE	FALSE		Cascade	Falls	Drop	Nature
Watermelon	Fire-Berry	TRUE	TRUE	FALSE		Melon	Fruit	Seed	Food
Waterfall	Fire-Fly	TRUE	TRUE	FALSE		Cascade	Falls	Drop	Nature
Water heater	Fire Cooler	TRUE	TRUE	FALSE		Tank	Boiler	Pump	House
Water Skiing	Fire-Tumbling	TRUE	TRUE	FALSE		Wake	Board	Boat	Sports
Water Slide	Fire Climb	TRUE	TRUE	FALSE		Pool	Park	Splash	Fun
Watercolor	Fire Scribble	TRUE	TRUE	FALSE		Paint	Brush	Art	Art
Watch party	Blind Bummer	TRUE	TRUE	FALSE		Group	View	Show	Fun
